"cpu_id", "freq", "log_id"
"cpu2", 0.480001, 211
"cpu3", 0.480117, 211
"cpu0", 0.480000, 212
"cpu1", 0.480000, 212
"cpu2", 0.480000, 212
"cpu3", 0.480000, 212
"cpu0", 0.480000, 213
"cpu1", 0.480000, 213
"cpu2", 0.480000, 213
"cpu3", 0.480000, 213
"cpu0", 0.480000, 214
"cpu1", 0.480000, 214
"cpu2", 0.480000, 214
"cpu3", 0.479877, 214
"cpu0", 0.480000, 215
"cpu1", 0.480000, 215
"cpu2", 0.480000, 215
"cpu3", 0.479877, 215
"cpu0", 0.480000, 216
"cpu1", 0.480000, 216
"cpu2", 0.607632, 216
"cpu3", 0.699326, 216
"cpu0", 0.480000, 217
"cpu1", 0.480000, 217
"cpu2", 0.607632, 217
"cpu3", 0.699326, 217
"cpu0", 0.480000, 218
"cpu1", 0.480000, 218
"cpu2", 1.017518, 218
"cpu3", 0.813613, 218
"cpu0", 0.480000, 219
"cpu1", 0.480000, 219
"cpu2", 1.017518, 219
"cpu3", 0.813613, 219
"cpu0", 0.480000, 220
"cpu1", 0.480000, 220
"cpu2", 0.498792, 220
"cpu3", 0.505444, 220
"cpu0", 0.480000, 221
"cpu1", 0.480000, 221
"cpu2", 0.480123, 221
"cpu3", 0.479996, 221
"cpu0", 0.480000, 222
"cpu1", 0.480000, 222
"cpu2", 0.480123, 222
"cpu3", 0.479996, 222
"cpu0", 0.480000, 223
"cpu1", 0.479989, 223
"cpu2", 0.480000, 223
"cpu3", 0.479998, 223
"cpu0", 0.480000, 224
"cpu1", 0.479989, 224
"cpu2", 0.480000, 224
"cpu3", 0.479998, 224
"cpu0", 0.480000, 225
"cpu1", 0.480008, 225
"cpu2", 0.480000, 225
"cpu3", 0.480000, 225
"cpu0", 0.480000, 226
"cpu1", 0.480008, 226
"cpu2", 0.480000, 226
"cpu3", 0.480000, 226
"cpu0", 0.482613, 227
"cpu1", 0.611399, 227
"cpu2", 0.501563, 227
"cpu3", 0.495304, 227
"cpu0", 0.482613, 228
"cpu1", 0.611399, 228
"cpu2", 0.501563, 228
"cpu3", 0.495304, 228
"cpu0", 0.742151, 229
"cpu1", 1.025475, 229
"cpu2", 0.623749, 229
"cpu3", 0.582311, 229
"cpu0", 0.742151, 230
"cpu1", 1.025475, 230
"cpu2", 0.623749, 230
"cpu3", 0.582311, 230
"cpu0", 1.452844, 231
